iter	Logloss
0	0.6804180235
1	0.6725837895
2	0.663467794
3	0.6594918179
4	0.6560255327
5	0.6529405102
6	0.6486413438
7	0.6457015326
8	0.6429737801
9	0.6407265165
10	0.6394310626
11	0.6382933082
12	0.6363742803
13	0.6348749586
14	0.6338108516
15	0.6326973483
16	0.6318547596
17	0.630863251
18	0.6301449125
19	0.6292194815
20	0.6270847361
21	0.6263025917
22	0.6256957383
23	0.6229834899
24	0.6222982351
25	0.6217274074
26	0.6194989368
27	0.6188676219
28	0.6182486817
29	0.61633568
30	0.6158981265
31	0.6155092601
32	0.6150604513
33	0.6142236454
34	0.6137820353
35	0.6133092445
36	0.6128720205
37	0.6125423828
38	0.6122091294
39	0.6118348854
40	0.6114600782
41	0.611187645
42	0.6108485246
43	0.6104109867
44	0.6101757001
45	0.6099479016
46	0.6097330824
47	0.609529412
48	0.6092610801
49	0.6090880544
50	0.6088976814
51	0.6086974169
52	0.6084477012
53	0.608168329
54	0.6079516652
55	0.6077780588
56	0.6075189454
57	0.6073393119
58	0.607126937
59	0.606924892
60	0.6067494841
61	0.6065612063
62	0.6064037844
63	0.6059653084
64	0.6058231179
65	0.6047986786
66	0.6045989528
67	0.6043510061
68	0.6042111278
69	0.6040391904
70	0.6039068677
71	0.6037200942
72	0.6035049405
73	0.6033526428
74	0.6031918095
75	0.603110345
76	0.6028152541
77	0.6026035738
78	0.6024558314
79	0.6022379194
80	0.6020967003
81	0.6019629133
82	0.6016114871
83	0.6014172029
84	0.6011866041
85	0.6010464528
86	0.6009163318
87	0.6007290186
88	0.6006104125
89	0.6004932147
90	0.6003921917
91	0.6002541668
92	0.6001488569
93	0.6000126145
94	0.5999077772
95	0.599800007
96	0.5996854539
97	0.5995165642
98	0.5994501281
99	0.5988951847
100	0.598736841
101	0.598563292
102	0.5984057077
103	0.5983398868
104	0.5982137282
105	0.5981017457
106	0.5979465838
107	0.5978589756
108	0.597750669
109	0.5975952034
110	0.5968196222
111	0.5967127081
112	0.5965692741
113	0.5964713054
114	0.5963152394
115	0.5961900428
116	0.5960981331
117	0.5959642466
118	0.5958688888
119	0.5957988585
120	0.5957008216
121	0.5956374866
122	0.5955640971
123	0.5954474213
124	0.5953272856
125	0.595242585
126	0.5950872767
127	0.5949630188
128	0.5948675315
129	0.5947748106
130	0.5947049241
131	0.5945915884
132	0.5944594872
133	0.5943508176
134	0.5942440278
135	0.5941777805
136	0.5940684447
137	0.5939768583
138	0.5938662669
139	0.593711451
140	0.5935667931
141	0.593518361
142	0.5934628839
143	0.5934222866
144	0.5933220335
145	0.5931052096
146	0.5929911077
147	0.592920977
148	0.5927753317
149	0.5927359254
150	0.5926834364
151	0.5925417636
152	0.5924605614
153	0.5923617131
154	0.5922930007
155	0.5922447931
156	0.5921369711
157	0.5919710687
158	0.5918028129
159	0.5915482969
160	0.5914923524
161	0.5913565177
162	0.5912718523
163	0.5912465339
164	0.5911817776
165	0.5911007338
166	0.5910553439
167	0.590935604
168	0.5907556482
169	0.5907079342
170	0.5906124855
171	0.5905522563
172	0.5899613243
173	0.5898857151
174	0.5897662709
175	0.5896720502
176	0.5896448727
177	0.5895956813
178	0.5894985712
179	0.5894140224
180	0.5892880487
181	0.5892092807
182	0.5891144871
183	0.5890593454
184	0.588977687
185	0.5889230917
186	0.588846207
187	0.5887520941
188	0.5887178453
189	0.5885419486
190	0.5884130522
191	0.5883112265
192	0.5882289744
193	0.5881754292
194	0.5880564982
195	0.587953526
196	0.5879079229
197	0.5878568064
198	0.5877817742
199	0.5876562048
200	0.5875521417
201	0.5874480204
202	0.5873531798
203	0.5872407069
204	0.5872058729
205	0.5870790336
206	0.5870135932
207	0.5869029042
208	0.5868271927
209	0.5867393181
210	0.5867039784
211	0.5865845022
212	0.5865272461
213	0.5864771783
214	0.5863711075
215	0.5863050835
216	0.5862544967
217	0.5861113045
218	0.5860557956
219	0.5859390923
220	0.5858601396
221	0.5857682025
222	0.585269464
223	0.5852004935
224	0.5851409606
225	0.5850415901
226	0.5849323793
227	0.5848924726
228	0.5848394406
229	0.5847479425
230	0.5846783207
231	0.5845461005
232	0.5844371824
233	0.5843263149
234	0.5842344482
235	0.5841568787
236	0.5840629847
237	0.5839734917
238	0.5838748457
239	0.5837895505
240	0.5837197442
241	0.5836484526
242	0.5836050583
243	0.5835204468
244	0.5833913286
245	0.5833064598
246	0.5832189128
247	0.5831310028
248	0.5830569988
249	0.5829789853
250	0.5828969212
251	0.5828063705
252	0.5827266184
253	0.5826743011
254	0.5825756507
255	0.5824951524
256	0.582392907
257	0.5822909514
258	0.5822211836
259	0.582145911
260	0.5820739289
261	0.5819822425
262	0.5819011526
263	0.5817752524
264	0.5816918778
265	0.5815778063
266	0.5814906619
267	0.5814122961
268	0.5813414355
269	0.5812563558
270	0.581134453
271	0.5810527826
272	0.5809785114
273	0.5809019501
274	0.5808343922
275	0.580769275
276	0.5806849857
277	0.5806166261
278	0.5805493269
279	0.5804614511
280	0.5803863146
281	0.5802891154
282	0.5802150279
283	0.5800969292
284	0.5800064105
285	0.5799233425
286	0.5798488867
287	0.5797600335
288	0.579683549
289	0.5796113844
290	0.5795291655
291	0.5794150964
292	0.5793674285
293	0.5793117722
294	0.5792179552
295	0.5791355249
296	0.5790453372
297	0.578977434
298	0.5789082775
299	0.5788247906
300	0.5787569801
301	0.5786749114
302	0.5786056902
303	0.5785269057
304	0.5784358633
305	0.5783414535
306	0.5783055433
307	0.5782227117
308	0.5781499987
309	0.5780711239
310	0.5780205823
311	0.5779615681
312	0.5778908536
313	0.5778083125
314	0.5777149229
315	0.5776533184
316	0.5776112712
317	0.5774997769
318	0.5773791017
319	0.5772799796
320	0.5772047629
321	0.5771296672
322	0.5770412329
323	0.5769539379
