iter	Passed	Remaining
0	2	2000
1	3	1899
2	5	1845
3	7	1778
4	9	1798
5	10	1770
6	12	1743
7	14	1747
8	16	1770
9	17	1766
10	19	1741
11	20	1713
12	22	1731
13	25	1769
14	27	1781
15	28	1752
16	29	1727
17	31	1697
18	32	1673
19	33	1649
20	35	1635
21	36	1618
22	37	1607
23	39	1609
24	40	1592
25	42	1577
26	43	1566
27	44	1551
28	46	1542
29	47	1537
30	48	1529
31	50	1518
32	51	1507
33	52	1501
34	54	1499
35	55	1494
36	57	1488
37	58	1482
38	59	1474
39	61	1468
40	62	1463
41	63	1459
42	65	1453
43	66	1451
44	68	1446
45	69	1441
46	70	1436
47	72	1430
48	73	1424
49	74	1421
50	76	1416
51	77	1411
52	78	1409
53	80	1405
54	81	1404
55	83	1403
56	84	1399
57	86	1398
58	87	1396
59	89	1398
60	90	1397
61	92	1393
62	93	1390
63	95	1393
64	96	1390
65	98	1388
66	99	1384
67	100	1380
68	102	1384
69	103	1381
70	105	1376
71	106	1374
72	107	1370
73	109	1369
74	110	1368
75	112	1367
76	113	1363
77	114	1359
78	116	1358
79	118	1359
80	119	1358
81	120	1354
82	122	1351
83	123	1351
84	125	1348
85	126	1345
86	127	1341
87	128	1336
88	130	1333
89	131	1332
90	133	1331
91	134	1331
92	136	1328
93	138	1330
94	139	1331
95	141	1328
96	142	1325
97	143	1322
98	145	1323
99	146	1321
100	148	1318
101	149	1316
102	151	1318
103	153	1319
104	154	1317
105	155	1314
106	157	1311
107	158	1308
108	160	1309
109	161	1306
110	162	1305
111	164	1302
112	165	1302
113	167	1305
114	169	1303
115	170	1300
116	171	1297
117	173	1297
118	174	1295
119	176	1293
120	177	1291
121	178	1288
122	180	1285
123	181	1284
124	183	1284
125	184	1283
126	186	1280
127	187	1278
128	189	1277
129	190	1274
130	191	1271
131	193	1269
132	194	1268
133	196	1267
134	197	1265
135	199	1264
136	200	1261
137	201	1259
138	203	1259
139	204	1257
140	206	1255
141	207	1252
142	208	1250
143	210	1250
144	211	1248
145	212	1245
146	214	1244
147	216	1244
148	217	1243
149	219	1242
150	220	1239
151	221	1237
152	223	1236
153	225	1236
154	226	1233
155	227	1230
156	228	1228
157	230	1226
158	232	1227
159	233	1228
160	235	1229
161	237	1229
162	239	1228
163	240	1227
164	242	1225
165	243	1223
166	244	1220
167	246	1222
168	248	1221
169	250	1222
170	251	1220
171	253	1219
172	254	1217
173	256	1215
174	257	1214
175	258	1212
176	260	1211
177	262	1210
178	263	1209
179	265	1207
180	266	1206
181	268	1205
182	269	1204
183	271	1202
184	272	1199
185	273	1197
186	275	1196
187	276	1194
188	278	1194
189	280	1194
190	281	1193
191	283	1191
192	284	1189
193	285	1187
194	287	1186
195	288	1185
196	290	1183
197	291	1181
198	293	1179
199	294	1178
200	296	1176
201	297	1176
202	299	1174
203	300	1172
204	301	1170
205	303	1168
206	304	1166
207	305	1165
208	307	1162
209	308	1161
210	310	1160
211	312	1159
212	313	1157
213	314	1156
214	316	1154
215	317	1153
216	319	1152
217	320	1150
218	322	1149
219	323	1147
220	325	1146
221	327	1146
222	328	1144
223	329	1142
224	331	1141
225	332	1140
226	334	1139
227	335	1137
228	337	1135
229	338	1134
230	340	1132
231	341	1130
232	343	1130
233	344	1128
234	346	1127
235	347	1125
236	349	1123
237	350	1121
238	351	1119
239	353	1118
240	354	1117
241	356	1115
242	358	1115
243	359	1114
244	361	1114
245	362	1112
246	364	1111
247	365	1109
248	367	1107
249	368	1106
250	370	1104
251	371	1103
252	373	1101
253	374	1101
254	376	1099
255	377	1097
256	379	1095
257	380	1093
258	381	1092
259	383	1090
260	384	1089
261	386	1087
262	387	1085
263	388	1084
264	390	1083
265	391	1081
266	393	1080
267	394	1078
268	396	1077
269	397	1075
270	399	1074
271	400	1072
272	402	1071
273	403	1069
274	405	1068
275	406	1066
276	407	1064
277	409	1062
278	410	1060
279	411	1059
280	413	1057
281	414	1055
282	416	1054
283	417	1052
284	418	1050
285	419	1048
286	421	1046
287	422	1045
288	424	1043
289	425	1042
290	426	1040
291	428	1038
292	429	1036
293	430	1034
294	432	1033
295	434	1032
296	435	1030
297	436	1028
298	438	1027
299	439	1025
300	440	1023
301	442	1022
302	443	1020
303	445	1018
304	446	1017
305	447	1015
306	449	1014
307	450	1012
308	452	1010
309	453	1009
310	454	1007
311	456	1006
312	457	1004
313	459	1003
314	460	1001
315	462	1000
316	463	998
317	464	997
318	466	995
319	467	993
320	468	991
321	470	990
322	471	988
323	472	986
324	474	984
325	475	982
326	476	980
327	477	979
328	479	977
329	480	976
330	482	974
331	483	973
332	484	971
333	486	969
334	487	968
335	489	967
336	490	965
337	492	964
338	493	962
339	495	961
340	496	959
341	497	957
342	499	956
343	501	955
344	502	954
345	504	953
346	505	952
347	507	950
348	508	949
349	510	947
350	511	946
351	513	944
352	514	942
353	515	941
354	517	939
355	518	938
356	520	936
357	521	934
358	522	933
359	524	932
360	526	931
361	527	929
362	528	927
363	529	926
364	531	924
365	532	922
366	534	921
367	535	919
368	537	918
369	538	916
370	539	915
371	541	914
372	543	912
373	544	911
374	546	910
375	547	908
376	549	907
377	550	905
378	551	904
379	553	902
380	554	901
381	556	899
382	557	898
383	558	896
384	560	895
385	562	894
386	563	892
387	564	891
388	566	889
389	567	887
390	569	886
391	570	884
392	572	883
393	573	882
394	574	880
395	576	879
396	577	877
397	579	875
398	580	874
399	581	872
400	583	871
401	585	870
402	586	868
403	587	867
404	589	865
405	590	864
406	592	862
407	593	861
408	595	860
409	596	858
410	597	856
411	599	855
412	600	853
413	602	852
414	603	851
415	605	849
416	606	847
417	607	846
418	609	844
419	610	843
420	612	841
421	613	840
422	614	838
423	616	836
424	617	835
425	618	833
426	620	832
427	621	830
428	623	829
429	624	827
430	625	826
431	627	824
432	628	823
433	629	821
434	631	819
435	632	818
436	633	816
437	635	815
438	636	813
439	637	811
440	639	810
441	640	808
442	642	807
443	643	805
444	644	804
445	646	802
446	647	800
447	648	799
448	650	797
449	651	796
450	652	794
451	654	793
452	655	791
453	657	790
454	658	788
455	659	787
456	661	785
457	662	784
458	664	782
459	665	781
460	666	779
461	668	778
462	669	776
463	671	775
464	672	773
465	674	772
466	675	771
467	676	769
468	678	768
469	680	766
470	681	765
471	683	764
472	684	762
473	686	761
474	687	760
475	689	758
476	690	757
477	691	755
478	693	754
479	694	752
480	696	751
481	697	750
482	699	748
483	700	747
484	702	745
485	703	744
486	705	742
487	706	741
488	708	740
489	709	738
490	711	737
491	712	735
492	713	734
493	715	732
494	716	731
495	718	729
496	719	728
497	720	726
498	722	725
499	723	723
500	724	722
501	726	720
502	727	719
503	729	717
504	731	716
505	732	715
506	733	713
507	735	712
508	736	710
509	738	709
510	739	707
511	741	706
512	742	705
513	744	703
514	746	702
515	747	701
516	749	700
517	750	698
518	752	697
519	754	696
520	755	694
521	757	693
522	758	691
523	760	690
524	762	689
525	763	688
526	765	686
527	766	685
528	768	684
529	769	682
530	771	681
531	772	679
532	773	678
533	775	676
534	776	675
535	778	673
536	779	672
537	781	670
538	782	669
539	784	667
540	785	666
541	786	664
542	788	663
543	789	661
544	791	660
545	792	659
546	794	657
547	795	656
548	796	654
549	798	653
550	799	651
551	800	649
552	802	648
553	804	647
554	805	645
555	807	644
556	808	643
557	810	642
558	812	640
559	814	639
560	815	638
561	817	637
562	818	635
563	820	634
564	821	632
565	823	631
566	825	630
567	826	628
568	828	627
569	829	626
570	831	624
571	832	622
572	833	621
573	835	619
574	836	618
575	838	616
576	839	615
577	841	614
578	842	612
579	844	611
580	846	610
581	848	609
582	850	608
583	851	606
584	853	605
585	854	604
586	856	602
587	858	601
588	860	600
589	861	598
590	862	597
591	864	595
592	865	594
593	867	592
594	868	591
595	869	589
596	871	588
597	873	587
598	875	586
